tf	tg
Cdx4	Zkscan16
Cebpa	Abcc3
Cebpa	Ak3
Cebpa	Hpgd
Cebpa	Ilf3
Cebpa	Mgst1
Cebpa	Psip1
Cebpa	Serpini1
Cebpa	Agpat2
Cebpa	Slco2b1
Cry2	Acsl6
Cry2	Amigo1
Cry2	Cacna2d1
Cry2	Camk2b
Cry2	Cdk6
Cry2	Kcnb1
Cry2	Lgi1
Cry2	Rai2
Cry2	Tcta
Cry2	Wfs1
Cry2	5430439G13Rik
Cry2	9030612E09Rik
Cry2	Abca5
Cry2	Enho
Dnmt3a	Bex1
Dnmt3a	Polr2g
Dnmt3a	Sub1
Dnmt3a	Tet1
Dnmt3a	Zfp329
Dnmt3a	Abi2
Dnmt3a	LOC106740
Dnmt3a	Pds5b
Dnmt3a	Zc4h2
Dnmt3a	Zfp512
Dnmt3a	Zfp647
Dnmt3a	Zfp74
Ebf1	Iqsec1
Ebf1	Slc39a4
Fev	Baiap3
Fev	Bhlha15
Fev	Cpb1
Fev	Cryba2
Fev	Ctrb1
Fev	Gcg
Fev	Gfra3
Fev	Iapp
Fev	Mcpt2
Fev	Necab2
Fev	Nkx2-2
Fev	Pcsk1
Fev	Prss2
Fev	Ptf1a
Fev	Reg3d
Fev	Scgn
Fev	Syp
Fev	Tram1
Fev	1810010K12Rik
Fev	1810058N05Rik
Fev	1810073G21Rik
Fev	4930467D19Rik
Fev	Aqp12
Fev	Arpm1
Fev	AU021895
Fev	BB187676
Fev	Celf3
Fev	Disp2
Fev	E530001K10Rik
Fev	Entpd3
Fev	Fam159b
Fev	Ispd
Fev	Kcnk16
Fev	Pabpc1l
Fev	Rimbp2
Fev	Rph3al
Fev	Vwa5b2
Fosb	Armc5
Fosb	D7Bwg0826e
Fosb	Dusp2
Fosb	Rab37
Fosb	Taf12
Fosb	Traf3
Fosb	Hsdl1
Fosb	Mcart6
Fosb	Npas4
Fosb	Srp54b
Foxa1	5330417C22Rik
Foxa1	Abcc3
Foxa1	C77080
Foxa1	Casp7
Foxa1	Cldn3
Foxa1	Dapk2
Foxa1	Efna1
Foxa1	Eps8l2
Foxa1	Erbb3
Foxa1	Gstt3
Foxa1	Hpgd
Foxa1	Mob3b
Foxa1	Pigr
Foxa1	Prkcz
Foxa1	Rnf43
Foxa1	Scnn1a
Foxa1	Sdc1
Foxa1	Selenbp1
Foxa1	Slc39a4
Foxa1	Smagp
Foxa1	Stap2
Foxa1	Arhgef26
Foxa1	Naprt1
Foxa1	Tmem125
Foxa1	Tmem238
Hmgn3	Aff2
Hmgn3	Arl6
Hmgn3	Armcx1
Hmgn3	Armcx2
Hmgn3	Btbd10
Hmgn3	Cbx6
Hmgn3	Ccdc88a
Hmgn3	Chst11
Hmgn3	Cntln
Hmgn3	Eid1
Hmgn3	Fzd3
Hmgn3	Glrb
Hmgn3	Hdgfrp3
Hmgn3	Kif3a
Hmgn3	Magee1
Hmgn3	Mageh1
Hmgn3	Mrfap1
Hmgn3	Nbea
Hmgn3	Pak3
Hmgn3	Pcdhb17
Hmgn3	Prmt2
Hmgn3	Runx1t1
Hmgn3	Tram1l1
Hmgn3	Tspan5
Hmgn3	Tsr2
Hmgn3	Ttc8
Hmgn3	Tuba1a
Hmgn3	Yaf2
Hmgn3	Zfp354c
Hmgn3	Zfp451
Hmgn3	Zfp90
Hmgn3	1500011H22Rik
Hmgn3	2610002J23Rik
Hmgn3	9030418K01Rik
Hmgn3	Abi2
Hmgn3	Arxes1
Hmgn3	Arxes2
Hmgn3	B630019K06Rik
Hmgn3	BC026590
Hmgn3	Bhlhb9
Hmgn3	C030034E14Rik
Hmgn3	Ccdc112
Hmgn3	Cep170
Hmgn3	Fam171b
Hmgn3	Glt8d1
Hmgn3	Mtap2
Hmgn3	Mtap9
Hmgn3	Nalcn
Hmgn3	Negr1
Hmgn3	Rab39b
Hmgn3	Tshz3
Hmgn3	Ubtd2
Hmgn3	Zc4h2
Hmgn3	Zfp647
Hnf1b	Cldn3
Hnf1b	Ddc
Hnf1b	Eps8l2
Hnf1b	Gss
Hnf1b	Gstt3
Hnf1b	Kl
Hnf1b	Nap1l4
Hnf1b	Pigr
Hnf1b	Prkcz
Hnf1b	Scnn1a
Hnf1b	Slc12a1
Hnf1b	Slc2a2
Hnf1b	Slc7a6
Hnf1b	Slco1a6
Hnf1b	Tmed6
Hnf1b	Tmem238
Ikzf4	Eml5
Ikzf4	March9
Ikzf4	Nap1l3
